channel,step,variable,label,row,background,mu,mu_err,sigma,sigma_err,fwhm,fwhm_err,resolution_pct,resolution_err_pct,chi2,ndf,prob,n_peak,n_hist,win_frac,res_exp,date
29,0,corrected,Corrected amplitude,energy,pol0,2614.88,1.16959,4.08581,0.780843,9.62134,1.83874,0.3679,0.0703,46.579,39,0.1887,17.79,52,0.02593840,0.00425245,2026-08-19 02:05:22
29,1,alpha,Alpha stabilized,native,pol0,2424.18,1.00566,3.6106,0.652737,8.50232,1.53708,0.3507,0.0634,50.499,39,0.1027,18.29,53,0.02593840,0.00425245,2026-08-19 02:05:22
29,1,alpha,Alpha stabilized,energy,pol0,2560.54,2.89992,3.26613,1.606,7.69116,3.78184,0.3004,0.1477,87.497,39,0.0000,2.31,55,0.02593840,0.00425245,2026-08-19 02:05:22
49,0,corrected,Corrected amplitude,native,pol0,7490.04,1.6925,16.982,1.3243,39.9894,3.11849,0.5339,0.0416,52.280,53,0.5022,113.60,128,0.01556771,0.00219762,2026-08-19 02:06:37
49,0,corrected,Corrected amplitude,energy,pol0,2614.51,0.590793,5.92781,0.462266,13.9589,1.08855,0.5339,0.0416,52.280,53,0.5022,113.60,128,0.01556771,0.00219762,2026-08-19 02:06:37
49,1,alpha,Alpha stabilized,native,pol0,2367.92,0.330549,3.3548,0.251323,7.89995,0.59182,0.3336,0.0250,47.480,53,0.6881,114.07,129,0.01556771,0.00219762,2026-08-19 02:06:37
49,1,alpha,Alpha stabilized,energy,pol0,2614.5,0.365703,3.71264,0.277765,8.7426,0.654086,0.3344,0.0250,47.195,53,0.6986,114.08,129,0.01556771,0.00219762,2026-08-19 02:06:37
50,0,corrected,Corrected amplitude,native,pol0,7490.26,1.63546,16.4522,1.19136,38.7419,2.80544,0.5172,0.0375,57.806,67,0.7810,114.04,136,0.01892425,0.00212024,2026-08-19 00:07:38
50,0,corrected,Corrected amplitude,energy,pol0,2614.51,0.570866,5.74272,0.415851,13.5231,0.979253,0.5172,0.0375,57.806,67,0.7810,114.04,136,0.01892425,0.00212024,2026-08-19 00:07:38
50,1,alpha,Alpha stabilized,native,pol0,2409.85,0.476435,4.77716,0.35758,11.2494,0.842036,0.4668,0.0349,61.391,67,0.6703,113.92,136,0.01892425,0.00212024,2026-08-19 00:07:38
50,1,alpha,Alpha stabilized,energy,pol0,2614.51,0.518848,5.20284,0.388975,12.2518,0.915967,0.4686,0.0350,59.919,67,0.7179,113.93,136,0.01892425,0.00212024,2026-08-19 00:07:38
51,0,corrected,Corrected amplitude,native,pol0,8012.21,1.67437,19.6676,1.62761,46.3136,3.83274,0.5780,0.0478,64.620,57,0.2278,167.72,187,0.01644803,0.00214750,2026-08-19 00:08:12
51,0,corrected,Corrected amplitude,energy,pol0,2614.55,0.542075,6.37144,0.523669,15.0036,1.23315,0.5738,0.0472,66.257,57,0.1879,167.40,187,0.01644803,0.00214750,2026-08-19 00:08:12
51,1,alpha,Alpha stabilized,native,pol0,2338.18,0.379131,4.4902,0.345078,10.5736,0.812597,0.4522,0.0348,63.364,57,0.2620,165.12,187,0.01644803,0.00214750,2026-08-19 00:08:12
51,1,alpha,Alpha stabilized,energy,pol0,2614.49,0.423736,5.01906,0.385277,11.819,0.907259,0.4521,0.0347,63.826,57,0.2491,165.12,187,0.01644803,0.00214750,2026-08-19 00:08:12
52,0,corrected,Corrected amplitude,native,pol0,1450.03,0.770644,9.00594,0.756606,21.2074,1.78167,1.4625,0.1229,82.784,41,0.0001,239.65,291,0.03873681,0.00430651,2026-08-19 02:11:37
52,0,corrected,Corrected amplitude,energy,pol0,2614.44,1.39471,16.1935,1.36304,38.1327,3.2097,1.4585,0.1228,83.616,41,0.0001,238.76,292,0.03873681,0.00430651,2026-08-19 02:11:37
52,1,alpha,Alpha stabilized,native,pol0,2396.44,1.09311,13.4544,1.06342,31.6826,2.50417,1.3221,0.1045,85.242,50,0.0014,238.60,291,0.03873681,0.00430651,2026-08-19 02:11:37
52,1,alpha,Alpha stabilized,energy,pol0,2614.54,1.19962,14.6945,1.17146,34.6029,2.75857,1.3235,0.1055,86.813,50,0.0010,238.56,291,0.03873681,0.00430651,2026-08-19 02:11:37
53,0,corrected,Corrected amplitude,native,pol0,0.177218,1.38183e-05,0.000211268,1.08939e-05,0.000497498,2.56532e-05,0.2807,0.0145,70.646,79,0.7376,257.46,276,0.01231211,0.00118075,2026-08-19 00:23:06
53,0,corrected,Corrected amplitude,energy,pol0,2614.52,0.203573,3.11541,0.160187,7.33623,0.377211,0.2806,0.0144,59.231,79,0.9528,257.44,276,0.01231211,0.00118075,2026-08-19 00:23:06
53,1,alpha,Alpha stabilized,native,pol0,2413.95,0.191803,3.00396,0.14126,7.07377,0.332641,0.2930,0.0138,66.458,79,0.8419,259.86,275,0.01231211,0.00118075,2026-08-19 00:23:06
53,1,alpha,Alpha stabilized,energy,pol0,2614.49,0.208116,3.26077,0.153091,7.67853,0.360503,0.2937,0.0138,63.913,79,0.8911,259.89,275,0.01231211,0.00118075,2026-08-19 00:23:06
54,0,corrected,Corrected amplitude,native,pol0,7824.13,1.41418,15.9489,1.15394,37.5567,2.71732,0.4800,0.0347,79.591,65,0.1052,149.60,177,0.01720187,0.00200262,2026-08-19 00:09:07
54,0,corrected,Corrected amplitude,energy,pol0,2614.48,0.472694,5.32839,0.386434,12.5474,0.909982,0.4799,0.0348,82.304,65,0.0724,149.58,177,0.01720187,0.00200262,2026-08-19 00:09:07
54,1,alpha,Alpha stabilized,native,pol0,2421.66,0.315807,3.54446,0.269618,8.34657,0.634901,0.3447,0.0262,72.057,65,0.2559,149.24,178,0.01720187,0.00200262,2026-08-19 00:09:07
54,1,alpha,Alpha stabilized,energy,pol0,2614.52,0.340957,3.82674,0.29109,9.01129,0.685464,0.3447,0.0262,72.057,65,0.2559,149.24,178,0.01720187,0.00200262,2026-08-19 00:09:07
55,0,corrected,Corrected amplitude,native,pol0,8185.55,4.5719,21.7282,3.83244,51.166,9.0247,0.6251,0.1103,41.430,33,0.1489,42.07,115,0.03011219,0.00488523,2026-08-19 00:09:31
55,0,corrected,Corrected amplitude,energy,pol0,2614.55,1.46031,6.94021,1.22412,16.3429,2.88258,0.6251,0.1103,41.430,33,0.1489,42.07,115,0.03011219,0.00488523,2026-08-19 00:09:31
55,1,alpha,Alpha stabilized,native,pol0,2390.46,0.826136,4.22542,0.659274,9.9501,1.55247,0.4162,0.0649,38.006,33,0.2518,41.25,115,0.03011219,0.00488523,2026-08-19 00:09:31
55,1,alpha,Alpha stabilized,energy,pol0,2614.48,0.852314,4.37211,0.667051,10.2955,1.57078,0.3938,0.0601,40.711,33,0.1674,40.72,115,0.03011219,0.00488523,2026-08-19 00:09:31
